08-41,08-79
01-01,01-61
34-75,33-76
01-90,05-90
51-61,05-52
40-91,90-95
17-77,01-77
77-77,17-77
32-81,33-76
12-41,13-41
61-91,59-92
44-67,44-81
31-63,31-71
08-97,06-79
07-98,06-99
04-38,03-04
02-95,94-99
03-28,01-03
50-56,03-98
24-76,24-24
05-10,04-78
30-75,30-76
41-47,40-66
04-37,03-04
72-98,71-99
07-19,08-19
64-64,19-64
07-58,07-58
35-45,36-45
01-99,99-99
06-68,02-69
52-75,53-72
11-91,38-91
06-17,06-17
16-57,17-57
06-16,07-15
18-86,17-85
13-35,07-74
35-40,34-40
20-85,37-84
89-89,21-89
02-24,21-25
25-73,03-47
07-07,07-93
15-20,14-95
10-83,11-82
10-95,09-96
17-86,47-87
14-80,78-80
47-50,53-92
74-76,63-75
08-44,03-09
80-91,16-92
11-11,12-89
35-97,34-98
28-98,98-99
20-58,58-80
21-71,08-40
14-77,14-14
28-73,27-73
58-83,59-83
12-96,44-59
